262.575    31.169
291.464    20.493
267.030    30.028
293.333    19.535
295.179    18.558
297.004    17.563
298.809    16.552
300.595    15.525
302.363    14.484
304.115    13.43
305.851    12.365
307.573    11.288
309.282    10.201
310.979    9.106
312.666    8.002
314.344    6.892
316.014    5.776
317.677    4.656
319.336    3.531
269.217    29.402
271.376    28.74
273.508    28.045
275.612    27.317
277.687    26.558
279.735    25.77
281.756    24.953
283.749    24.109
285.716    23.24
287.657    22.347
289.573    21.43
264.816    30.618
